,station,linename,zipcode
0,1 AV,L,10009
1,103 ST,1,10025
2,103 ST,6,10029
3,103 ST,BC,10025
4,103 ST-CORONA,7,11368
5,104 ST,A,11417
6,104 ST,JZ,11418
7,110 ST,6,10029
8,111 ST,7,11368
9,111 ST,A,11419
10,111 ST,J,11418
11,116 ST,23,10026
12,116 ST,6,10035
13,116 ST,BC,10026
14,116 ST-COLUMBIA,1,10035
15,121 ST,JZ,11418
16,125 ST,1,10027
17,125 ST,23,10027
18,125 ST,456,10035
19,125 ST,ACBD,10027
20,135 ST,23,10030
21,135 ST,BC,10030
22,137 ST CITY COL,1,10031
23,138/GRAND CONC,45,10451
24,14 ST,123FLM,10011
25,14 ST,ACEL,10014
26,14 ST,FLM123,10011
27,14 ST-UNION SQ,456LNQRW,10003
28,14 ST-UNION SQ,LNQR456W,10003
29,145 ST,1,10031
30,145 ST,ABCD,10031
31,149/GRAND CONC,245,10451
32,14TH STREET,1,10011
33,15 ST-PROSPECT,FG,11215
34,155 ST,BD,10039
35,155 ST,C,10032
36,157 ST,1,10032
37,161/YANKEE STAD,4BD,10451
38,161/YANKEE STAD,BD4,10451
39,167 ST,4,10452
40,167 ST,BD,10452
41,168 ST,1AC,10032
42,168 ST,AC1,10032
43,169 ST,F,11432
44,170 ST,4,10452
45,170 ST,BD,10452
46,174 ST,25,10460
47,175 ST,A,10033
48,176 ST,4,10453
49,18 AV,D,11214